codigo,nombre,precio_venta,color,categoria,proveedor,imagen_url,stock,aprobado,sincronizado
LYS-01,SET DE LAPICERO METLICO/LLAVERO,5.00,NEGRO,SETS EJECUTIVOS,CHEAPER,images/LYS-01.png,,Approved,true
3111,LAPICERO PLASTICO,0.25,AMARILLO,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-AZUL,LAPICERO PLASTICO,0.25,AZUL,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-FUCSIA-CLARO,LAPICERO PLASTICO,0.25,FUCSIA CLARO,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-NARANJA,LAPICERO PLASTICO,0.25,NARANJA,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-NEGRO,LAPICERO PLASTICO,0.25,NEGRO,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-ROJO,LAPICERO PLASTICO,0.25,ROJO,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-TURQUESA,LAPICERO PLASTICO,0.25,TURQUESA,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-VERDE-CLARO,LAPICERO PLASTICO,0.25,VERDE CLARO,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3111-VERDE-OSCURO,LAPICERO PLASTICO,0.25,VERDE OSCURO,LAPICEROS PLASTICOS,CHEAPER,images/3111.png,,Approved,true
3115,LAPICERO PLASTICO,0.25,AMARILLO,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-AZUL,LAPICERO PLASTICO,0.25,AZUL,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-FUCSIA,LAPICERO PLASTICO,0.25,FUCSIA,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-MORADO,LAPICERO PLASTICO,0.25,MORADO,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-NARANJA,LAPICERO PLASTICO,0.25,NARANJA,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-NEGRO,LAPICERO PLASTICO,0.25,NEGRO,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-ROJO,LAPICERO PLASTICO,0.25,ROJO,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-TURQUESA,LAPICERO PLASTICO,0.25,TURQUESA,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-VERDE-CLARO,LAPICERO PLASTICO,0.25,VERDE CLARO,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3115-VERDE-OSCURO,LAPICERO PLASTICO,0.25,VERDE OSCURO,LAPICEROS PLASTICOS,CHEAPER,images/3115.png,,Approved,true
3111E,LAPICERO PLASTICO,0.26,AMARILLO,LAPICEROS PLASTICOS,CHEAPER,images/3111E.png,,Approved,true
3111E-AZUL,LAPICERO PLASTICO,0.26,AZUL,LAPICEROS PLASTICOS,CHEAPER,images/3111E.png,,Approved,true
3111E-BLANCO,LAPICERO PLASTICO,0.26,BLANCO,LAPICEROS PLASTICOS,CHEAPER,images/3111E.png,,Approved,true
3111E-FUCSIA,LAPICERO PLASTICO,0.26,FUCSIA,LAPICEROS PLASTICOS,CHEAPER,images/3111E.png,,Approved,true
